jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Stehlíková, Petra",Kolín,www.terapievkoline.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Klodnerová Praksová, Ivana",Praha 1,centhera.cz ivaklodnerova.cz,Info o dostupnosti na vyžádání,neuvedeno,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Horký, Martin",Brno,https://terapiescala.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Raková Kratochvílová, Milena",Praha 1,WWW.PORADNA-PRAHA.CZ,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Buriánová, Veronika",Praha 2,www.terapieburianova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Gregor, Dušan",Úvaly,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Tomanová Drnková, Veronika",Praha 2,www.psychologpraha.org,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Horová, Petra",Brno,www.terapiehorova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Lokajíčková, Renáta",Benešov,https://poradenstvi-pro-deti-a-mladez-benesov.webnode.cz/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hospodárová, Zuzana",,,Info o dostupnosti na vyžádání,neuvedeno,Osobně,
"Motýl, Jiří",Praha 2,neuvedeno,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Cepek, Martin",Neratovice,,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Kudry, Jan",Hřivice,Neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vorlová, Erika",Praha 7 - Holešovice,Neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kozoňová, Jiřina",Brno,vztahovy-terapeut.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Hobzová, Hana",Brno,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Žemla, Martin",Praha 2,https://www.martin-zemla.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Choutková, Kristýna",Praha,https://www.da-centrum.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šimečková, Taťána",Brno Královo Pole,www.tanasimeckova.cz,Nepřijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Dvořáková, Pavla",Brno,www.spolnar.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kupka, Martin",Olomouc,https://logoterapieonline.wixsite.com/home,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Brečka, Tibor A.",Kladno,https://www.linkedin.com/in/tibor-a-bre%C4%8Dka-787b3763/,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štarková, Iva",České Budějovice,"www.ivastarkova.cz, www.emocnijedlici.cz",Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hochmann, Pavel",Praha 4,,Info o dostupnosti na vyžádání,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Lindner, Jan",Brno,https://www.janavy.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Holátková, Markéta",Praha 1,https://app.terapie.cz/profile/1637-Mgr.-Marketa-Holatkova,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Baldessar Formánek, Jan",Praha 1,www.janformanek.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,Psychoterapie zaměřená na tělo
"Čalovka, Ondřej",Trutnov,https://calovkatrutnov.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hanušová, Martina",Praha 6 - Dejvice,http://centrumhladina.cz/project/mgr-martina-hanusova/,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Šimková, Veronika",Plzeň,www.psychoterapie-simkova.webnode.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Lorenzová, Jitka",Beroun 2,https://www.alma-servis-terapie-otazkou.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Koubská, Olga",Praha 2,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Kinkalová, Kristýna",Praha 1,www.terapie-kinkalova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hatáková, Denisa",Hradec Králové,https://www.psycholog-hatakova.cz/,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jiříčková, Anna",Lipník nad Bečvou,www.annajirickova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vospělová, Tereza",Blatná,https://psychoterapieblatna.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Horká, Jitka",Praha,www.jitkahorka.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Hadravová, Jiřina",Praha 4,https://www.jirinahadravova.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kunertová, Olga",Praha 3,www.gaudia.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Jahodová, Barbora",Brno,https://www.barborajahodova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Švecová, Eliška",Brno,https://www.terapiepodkravihorou.cz/eliska/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šupej, Eva",Brno,www.evakostolanska.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Pop, Adina",Brno,https://counselme.eu/,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně",Integrativní a eklektické pojetí
"Posekaná, Tereza",Tábor,https://www.lecive-rozhovory.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, Osobně",Jiný
"Honsárková, Lenka",Havířov,,Přijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Mášová, Vendula",Praha,https://www.bodypsychoterapie-pontes.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Kosiak, Olga",Praha 6,https://www.kosiakolgamd.com.ua/,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Soukup, Jan",Praha 7 - Holešovice,https://www.psychoterapie-soukup.cz/,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Prvá, Marcela",Přerov,www.marcelaprva.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Táborská Floriánová, Edita",Praha 7,www.editatflorianova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Hanzlíková, Lucie",Praha 1,www.terapietilia.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Krutilová, Michaela",Broumov,www.psychologbroumovsko.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,Kognitivně-behaviorální terapie
"Vodňanská, Jitka",,,Info o dostupnosti na vyžádání,,,
"Soldánová, Viera",Brno,https://www.vierasoldanova.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Volynsky, Masha",Praha 10,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Haberzettl Afanasyeva, Kristina",Praha,www.terapiekristina.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Telefonicky",Kognitivně-behaviorální terapie
"Kroupová, Kateřina",Praha 2,katerinakroupova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Mikulová, Hana","Staré Město, Praha 1",www.cestouterapie.cz,Přijímám nové klienty,"On-line, Osobně",,Psychoterapie zaměřená na tělo
"Fišáková, Anna",Praha,www.vterapii.com,Přijímám nové klienty,"Dospělí 18-69, neuvedeno",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Boháčová Polášková, Kristýna",Praha 2,https://app.terapie.cz/profile/3272-Kristyna-Bohacova-Polaskova,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Ehrenbergerová, Michaela",Praha 2,www.michaelaehrenbergerova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Nuslauerová, Eliška",online,www.enterapie.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Telefonicky",Integrativní a eklektické pojetí
"Štarmann Pavelková, Kateřina",Brno,www.brno-psycholozka.cz ; www.psycholog-tisnov.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Holoušová, Alena","Brno, Maloměřice",terapie-supervize.webnode.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Hejnová, Kateřina",Praha 4 Modřany,www.klipsy.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Duba, Pavel",Praha 1,https://psychoterapie-duba.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Novotná, Kateřina",Praha 4,www.katkanovotna.cz,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Skyvová, Naďa",Olomouc,nadaskyvova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Šídová, Lucie",Praha 1,www.luciesidova.cz,Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Grymová, Markéta",Moravská Ostrava a Přívoz,www.grymovamarketa.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Sadilová, Lenka",Příbram,https://app.terapie.cz/profile/55-Lenka-Sadilova,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kotek, Martin",Praha,https://psycholog-praha.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Hanko, Jitka",Říčany,www.terapielesnichodci.com,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Machovská, Simona",Moravská Ostrava a Přívoz,www.terapie-machovska.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lukášová Salaquardová, Dora",Brno,www.doralukasova.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Trnka Hassmanová, Klára",Praha 6,www.klaratrnka.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Vasičáková Očenášová, Zuzana",Bratislava,,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Psychoterapie zaměřená na tělo
"Pöslová, Blanka",Pardubice,www.psychocom.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Pokorná, Zuzana",Hrádek nad Nisou,Neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Sedláčková, Simona",Praha 2 - Nové Město,www.afterin-adiktologie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Kohoutová, Barbora",Praha 10,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Ferenčíková, Milena",Online,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Sitová, Eva",Lanškroun,www.evasitova.cz,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Malůš, Marek",Olomouc,https://www.psychoterapie-koucink.cz/ a https://darknesstherapy.org/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Poláková, Gabriela",Mostek,www.stestivhlave.cz,Přijímám nové klienty,Osobně,,"Systémové, systemické a komunikační pojetí"
"Částková, Michaela",Dobříš,www.terapie-dobris.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, neuvedeno","On-line, Osobně",Kognitivně-behaviorální terapie
"Černá, Ria",Pardubice,www.riacerna.cz,Info o dostupnosti na vyžádání,Osobně,,Integrativní a eklektické pojetí
"Lorencová, Eva",Žďár nad Sázavou,www.evalorencova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Svěrák, Tomáš",Brno,,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Schneiderová, Denisa",Louny,https://www.denisa-schneiderova.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Jirků, Marie",Praha 6,www.aliviocentrum.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Madronová, Monika",Hustopeče,terapiemm.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Hasmanová, Lenka",Praha,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vacková, Alžběta",Brno,Balancetherapy.webnode.cz,Přijímám nové klienty,,,Kognitivně-behaviorální terapie
"Racková, Barbora",Praha 7,www.terapiesbarou.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Sikora, Ema",Praha 1,www.emasikora.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Vojáčková, Veronika",Praha 3,www.psychoterapievv.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Paulusová, Lucie",Praha,https://terapie-pro-dospivajici.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospívající (do 17 let)",Osobně,Jiný
"Novická, Renáta",Praha 1,www.hypnoter.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Bezděková, Lenka",Praha 1,"www.spolunado.cz, www.biosynteza.cz",Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,Integrativní a eklektické pojetí
"Hanžlová, Lucie",Praha 5,,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Vytvytska, Oleksandra",Kličany,https://www.nudz.cz/pomahame-ukrajine/psychosocialni-podpora,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,Kognitivně-behaviorální terapie
"Navrátilová, Markéta",Havířov,www.terapienamiru.eu,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Jiný
"KORAZIM, Danuta",Bratislava 1,https://mindclinic.org.il/about-me-page-slovak-rtl%ef%bf%bc/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+",On-line,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Heveri, Martin",Praha 5,rodinnaterapiepraha.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vašková, Jitka",Praha 10,Neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Putnová, Anna",Brno,www.terapiemujprostor.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Zvánovcová, Irena",Praha 2,www.psychoterapie-iz.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Konečná, Petra",Praha,www.petrakonecna.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pešková, Kristina",Brno,www.neuropsychologiebrno.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Masařová, Anna",Praha 2,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Sůvová, Zuzana",Kutná Hora,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,Psychoterapie zaměřená na tělo
"Marková, Vladislava",České Budějovice,https://www.poradnamarkova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Almqvist, Kateřina",Hluboká nad Vltavou,psychoterapeut.org,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Mlázovská, Barbora",Praha 2,https://www.barboramlazovska.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Rozsívalová, Markéta",Praha 5 - Smíchov,www.terapeutisc.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Skálová, Iveta",Říčany,https://www.psychoterapie-iveta-skalova.com/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně",Integrativní a eklektické pojetí
"Virtová, Michaela",Roudnice,www.terapie-virtova.cz,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Černá, Irena",Trutnov,zatím nemám,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Jiný
"Zajícová, Zuzana",Praha 1,Www.zuzanazajicova.com,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Hladová, Nikol",Plzeň,https://nikolhladova.cz,Nepřijímám nové klienty,Dospělí 18-69,Osobně,Psychoterapie zaměřená na tělo
"Stoklásková, Marie",Olomouc,www.cprd.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Valečková, Diana",Plzeň,www.psycholog-diana.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Wagnerová, Jana",Ivančice,www.terapie-wagnerova.cz,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","Možnost terapie venku, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Černošková, Monika",Praha 4 - Podolí,www.moudrosttela.cz,Přijímám nové klienty,Osobně,,Psychoterapie zaměřená na tělo
"Zavadil, Miroslav",Nymburk,www.os-semiramis.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Filipová, Irena",Praha 4 - Chodov,,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kupčo, Pavla",Praha 4,https://www.pavlakupco.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Guyazová, Radka",Kladno,www.ambulance-psychoterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
